start_seconds,end_seconds,phase,actor,status,latency_ms,matched_case,matched_priority,retry_after
0.000437,0.058678,normal,batch,200,58.240891,True,True,
0.201471,0.222987,normal,batch,200,21.516085,True,True,
0.404933,0.429562,normal,batch,200,24.629116,True,True,
0.601429,0.617069,normal,batch,200,15.64002,True,True,
0.652325,0.680295,normal,control,200,27.969599,False,False,
0.804312,0.830689,normal,batch,200,26.376963,True,True,
1.005255,1.019855,normal,batch,200,14.5998,True,True,
1.201004,1.234471,normal,batch,200,33.466816,True,True,
1.405309,1.429248,normal,batch,200,23.938894,True,True,
1.605916,1.647783,normal,batch,200,41.866779,True,True,
1.657356,1.676725,normal,control,200,19.368887,False,False,
1.804693,1.83811,normal,batch,200,33.416986,True,True,
2.005093,2.019542,normal,batch,200,14.448881,True,True,
2.204833,2.225835,normal,batch,200,21.001816,True,True,
2.404509,2.424867,normal,batch,200,20.358086,True,True,
2.602313,2.62077,normal,batch,200,18.457174,True,True,
2.662395,2.676891,normal,control,200,14.496088,False,False,
2.805146,2.827589,normal,batch,200,22.443056,True,True,
3.001444,3.016957,normal,batch,200,15.512705,True,True,
3.204194,3.223419,normal,batch,200,19.225121,True,True,
3.401728,3.419343,normal,batch,200,17.61508,True,True,
3.602793,3.617774,normal,batch,200,14.981031,True,True,
3.664329,3.681704,normal,control,200,17.374992,False,False,
3.801685,3.820798,normal,batch,200,19.113064,True,True,
4.000699,4.018495,normal,batch,200,17.795801,True,True,
4.20225,4.218247,normal,batch,200,15.997171,True,True,
4.404023,4.420215,normal,batch,200,16.191959,True,True,
4.60495,4.62722,normal,batch,200,22.269964,True,True,
4.66746,4.714172,normal,control,200,46.71216,False,False,
4.801715,4.819232,normal,batch,200,17.51709,True,True,
5.000968,5.059953,normal,batch,200,58.985233,True,True,
5.203652,5.249344,normal,batch,200,45.692921,True,True,
5.402429,5.415664,normal,batch,200,13.235331,True,True,
5.605411,5.620008,normal,batch,200,14.596939,True,True,
5.668801,5.701136,normal,control,200,32.335043,False,False,
5.803094,5.837331,normal,batch,200,34.236908,True,True,
6.004314,6.018177,normal,batch,200,13.862848,True,True,
6.203137,6.235069,normal,batch,200,31.931877,True,True,
6.405284,6.438382,normal,batch,200,33.097982,True,True,
6.60269,6.662205,normal,batch,200,59.514999,True,True,
6.671697,6.708659,normal,control,200,36.962748,False,False,
6.804626,6.819903,normal,batch,200,15.276909,True,True,
7.003786,7.028848,normal,batch,200,25.063276,True,True,
7.204803,7.219244,normal,batch,200,14.441013,True,True,
7.403579,7.428449,normal,batch,200,24.869919,True,True,
7.605625,7.65445,normal,batch,200,48.825741,True,True,
7.673344,7.691608,normal,control,200,18.264055,False,False,
7.804131,7.819735,normal,batch,200,15.604019,True,True,
8.000872,8.01887,normal,batch,200,17.99798,True,True,
8.205303,8.219726,normal,batch,200,14.423132,True,True,
