engine,configuration,runtime_version,model_storage,execution_period,sample,warmup,status,excluded,e2e_s,frames,file_sha256
sglang,fl2va-both-c1,original + output-retention patch,NVMe,initial-node; independent FL2VA windows,r0-c0,False,PASS,False,372.8453124091029,124,a3df562601f58085a640a8ed37549a2512d09f40fb7f2976699b8504639f9d57
sglang,fl2va-both-c1,original + output-retention patch,NVMe,initial-node; independent FL2VA windows,r1-c0,False,PASS,False,371.84651622222736,124,a3df562601f58085a640a8ed37549a2512d09f40fb7f2976699b8504639f9d57
sglang,fl2va-both-c1,original + output-retention patch,NVMe,initial-node; independent FL2VA windows,r2-c0,False,PASS,False,371.84217402804643,124,a3df562601f58085a640a8ed37549a2512d09f40fb7f2976699b8504639f9d57
sglang,fl2va-both-c1,original + output-retention patch,NVMe,initial-node; independent FL2VA windows,warmup,True,PASS,False,372.85642783902586,124,a3df562601f58085a640a8ed37549a2512d09f40fb7f2976699b8504639f9d57
sglang,fl2va-first-c1,original + output-retention patch,NVMe,initial-node; independent FL2VA windows,r0-c0,False,PASS,False,342.7709433552809,124,8150db116424a18e8dcaeabc99ea24651d8a7712bbb366bd782478b411d715bc
sglang,fl2va-first-c1,original + output-retention patch,NVMe,initial-node; independent FL2VA windows,r1-c0,False,PASS,False,342.76174558512866,124,8150db116424a18e8dcaeabc99ea24651d8a7712bbb366bd782478b411d715bc
sglang,fl2va-first-c1,original + output-retention patch,NVMe,initial-node; independent FL2VA windows,r2-c0,False,PASS,False,342.7660472453572,124,8150db116424a18e8dcaeabc99ea24651d8a7712bbb366bd782478b411d715bc
sglang,fl2va-first-c1,original + output-retention patch,NVMe,initial-node; independent FL2VA windows,warmup,True,PASS,False,343.78284265333787,124,8150db116424a18e8dcaeabc99ea24651d8a7712bbb366bd782478b411d715bc
sglang,fl2va-last-c1,original + output-retention patch,NVMe,initial-node; independent FL2VA windows,r0-c0,False,PASS,False,342.7644028388895,124,1d9a35f743693397019959819614bf848e1ef628e0038ef69454631f43f4ce2d
sglang,fl2va-last-c1,original + output-retention patch,NVMe,initial-node; independent FL2VA windows,r1-c0,False,PASS,False,342.7617338602431,124,1d9a35f743693397019959819614bf848e1ef628e0038ef69454631f43f4ce2d
sglang,fl2va-last-c1,original + output-retention patch,NVMe,initial-node; independent FL2VA windows,r2-c0,False,PASS,False,342.8515477217734,124,1d9a35f743693397019959819614bf848e1ef628e0038ef69454631f43f4ce2d
