engine,configuration,sample,e2e_s,frames,video_duration_s,rtf_video,file_sha256
sglang,fl2va-both-c1,r0-c0,372.8453124091029,124,5.166666666666667,72.16360885337475,a3df562601f58085a640a8ed37549a2512d09f40fb7f2976699b8504639f9d57
sglang,fl2va-both-c1,r1-c0,371.84651622222736,124,5.166666666666667,71.97029346236658,a3df562601f58085a640a8ed37549a2512d09f40fb7f2976699b8504639f9d57
sglang,fl2va-both-c1,r2-c0,371.84217402804643,124,5.166666666666667,71.9694530376864,a3df562601f58085a640a8ed37549a2512d09f40fb7f2976699b8504639f9d57
sglang,fl2va-first-c1,r0-c0,342.7709433552809,124,5.166666666666667,66.34276323005436,8150db116424a18e8dcaeabc99ea24651d8a7712bbb366bd782478b411d715bc
sglang,fl2va-first-c1,r1-c0,342.76174558512866,124,5.166666666666667,66.34098301647651,8150db116424a18e8dcaeabc99ea24651d8a7712bbb366bd782478b411d715bc
sglang,fl2va-first-c1,r2-c0,342.7660472453572,124,5.166666666666667,66.34181559587559,8150db116424a18e8dcaeabc99ea24651d8a7712bbb366bd782478b411d715bc
sglang,fl2va-last-c1,r0-c0,342.7644028388895,124,5.166666666666667,66.34149732365603,1d9a35f743693397019959819614bf848e1ef628e0038ef69454631f43f4ce2d
sglang,fl2va-last-c1,r1-c0,342.7617338602431,124,5.166666666666667,66.34098074714383,1d9a35f743693397019959819614bf848e1ef628e0038ef69454631f43f4ce2d
sglang,fl2va-last-c1,r2-c0,342.8515477217734,124,5.166666666666667,66.35836407518194,1d9a35f743693397019959819614bf848e1ef628e0038ef69454631f43f4ce2d
sglang,t2va-10s-c1,r0-c0,938.904703638982,243,10.125,92.73132875446736,3477db01776af5319b6bd4e7909cbc2e076308dad7892b48360b480f40fbca34
sglang,t2va-10s-c1,r1-c0,938.8540841178037,243,10.125,92.72632929558556,3477db01776af5319b6bd4e7909cbc2e076308dad7892b48360b480f40fbca34
sglang,t2va-10s-c1,r0-c0,938.7981549319811,243,10.125,92.72080542538085,3477db01776af5319b6bd4e7909cbc2e076308dad7892b48360b480f40fbca34
sglang,t2va-15s-c1,r0-c0,1866.757071990054,362,15.083333333333334,123.76289980044557,4bb4cbc0c63a940e561293c25245ca89f07286141878f0f23b9e73bd146659ad
sglang,t2va-15s-c1,r1-c0,1866.72498350963,362,15.083333333333334,123.76077238737878,4bb4cbc0c63a940e561293c25245ca89f07286141878f0f23b9e73bd146659ad
sglang,t2va-15s-c1,r2-c0,1866.7659942661412,362,15.083333333333334,123.76349133256184,4bb4cbc0c63a940e561293c25245ca89f07286141878f0f23b9e73bd146659ad
sglang,t2va-5s-c1,r0-c0,315.6341115771793,124,5.166666666666667,61.09047320848631,35aa8dee4653c77ddbb6255f2b35c9758918379b5f97faa70ae9d6ca9b3434b8
sglang,t2va-5s-c1,r1-c0,315.63067436404526,124,5.166666666666667,61.08980794142811,35aa8dee4653c77ddbb6255f2b35c9758918379b5f97faa70ae9d6ca9b3434b8
sglang,t2va-5s-c1,r2-c0,315.6279738843441,124,5.166666666666667,61.08928526793756,35aa8dee4653c77ddbb6255f2b35c9758918379b5f97faa70ae9d6ca9b3434b8
sglang,t2va-5s-c2,r0-c0,315.82424731506035,124,5.166666666666667,61.12727367388264,35aa8dee4653c77ddbb6255f2b35c9758918379b5f97faa70ae9d6ca9b3434b8
sglang,t2va-5s-c2,r0-c1,631.4536571321078,124,5.166666666666667,122.21683686427892,35aa8dee4653c77ddbb6255f2b35c9758918379b5f97faa70ae9d6ca9b3434b8
sglang,t2va-5s-c2,r1-c0,315.79897241992876,124,5.166666666666667,61.12238175869589,35aa8dee4653c77ddbb6255f2b35c9758918379b5f97faa70ae9d6ca9b3434b8
sglang,t2va-5s-c2,r1-c1,631.4454022869468,124,5.166666666666667,122.21523915231228,35aa8dee4653c77ddbb6255f2b35c9758918379b5f97faa70ae9d6ca9b3434b8
sglang,t2va-5s-c2,r2-c0,315.808320838958,124,5.166666666666667,61.124191130120906,35aa8dee4653c77ddbb6255f2b35c9758918379b5f97faa70ae9d6ca9b3434b8
sglang,t2va-5s-c2,r2-c1,631.4228797322139,124,5.166666666666667,122.21087994817043,35aa8dee4653c77ddbb6255f2b35c9758918379b5f97faa70ae9d6ca9b3434b8
sglang,t2va-5s-c4,r0-c0,315.844374217093,124,5.166666666666667,61.13116920330832,35aa8dee4653c77ddbb6255f2b35c9758918379b5f97faa70ae9d6ca9b3434b8
sglang,t2va-5s-c4,r0-c1,630.7498147659935,124,5.166666666666667,122.08060930954713,35aa8dee4653c77ddbb6255f2b35c9758918379b5f97faa70ae9d6ca9b3434b8
sglang,t2va-5s-c4,r0-c2,946.5826935851946,124,5.166666666666667,183.20955359713443,35aa8dee4653c77ddbb6255f2b35c9758918379b5f97faa70ae9d6ca9b3434b8
sglang,t2va-5s-c4,r0-c3,1261.2188212689944,124,5.166666666666667,244.10686863270857,35aa8dee4653c77ddbb6255f2b35c9758918379b5f97faa70ae9d6ca9b3434b8
sglang,t2va-5s-c4,r1-c0,316.0069635012187,124,5.166666666666667,61.16263809701007,35aa8dee4653c77ddbb6255f2b35c9758918379b5f97faa70ae9d6ca9b3434b8
