configuration,sample,started_at,e2e_s,frames,video_duration_s,file_bytes,file_sha256,runtime_revision,run_scope
fl2va-both-c1,r0-c0,2026-09-05T19:38:32.487026+00:00,389.71328288083896,124,5.166666666666667,1682122,6a88f7cd9a096d275a174e2886fdb4676233e5d71410603d2bfde3e113f9ba2b,48298030d4b3c320b858dd98934c01babdd320ce,original runtime; varying cohosted workload; API error gate failed
fl2va-both-c1,r1-c0,2026-09-05T19:45:02.455827+00:00,389.57951030228287,124,5.166666666666667,1682122,6a88f7cd9a096d275a174e2886fdb4676233e5d71410603d2bfde3e113f9ba2b,48298030d4b3c320b858dd98934c01babdd320ce,original runtime; varying cohosted workload; API error gate failed
fl2va-both-c1,r2-c0,2026-09-05T19:51:32.292241+00:00,389.2248779688962,124,5.166666666666667,1682122,6a88f7cd9a096d275a174e2886fdb4676233e5d71410603d2bfde3e113f9ba2b,48298030d4b3c320b858dd98934c01babdd320ce,original runtime; varying cohosted workload; API error gate failed
fl2va-first-c1,r0-c0,2026-09-05T18:50:07.824023+00:00,358.77328138798475,124,5.166666666666667,1832530,ceb0c6fcafe76fa5a301767bb6c4cee2bb16f39b3756becd45f1f2cf9a99acf2,48298030d4b3c320b858dd98934c01babdd320ce,original runtime; varying cohosted workload; API error gate failed
fl2va-first-c1,r1-c0,2026-09-05T18:56:06.855249+00:00,359.2483462668024,124,5.166666666666667,1832530,ceb0c6fcafe76fa5a301767bb6c4cee2bb16f39b3756becd45f1f2cf9a99acf2,48298030d4b3c320b858dd98934c01babdd320ce,original runtime; varying cohosted workload; API error gate failed
fl2va-first-c1,r2-c0,2026-09-05T19:02:06.362438+00:00,358.3278009928763,124,5.166666666666667,1832530,ceb0c6fcafe76fa5a301767bb6c4cee2bb16f39b3756becd45f1f2cf9a99acf2,48298030d4b3c320b858dd98934c01babdd320ce,original runtime; varying cohosted workload; API error gate failed
fl2va-last-c1,r0-c0,2026-09-05T19:14:04.992371+00:00,359.4384562643245,124,5.166666666666667,1690477,86b1c96e3783b15f00dd1cbd511e868feb617fa9c28459cae0c8fbc53b464e1a,48298030d4b3c320b858dd98934c01babdd320ce,original runtime; varying cohosted workload; API error gate failed
fl2va-last-c1,r1-c0,2026-09-05T19:20:04.684394+00:00,358.4961741711013,124,5.166666666666667,1690477,86b1c96e3783b15f00dd1cbd511e868feb617fa9c28459cae0c8fbc53b464e1a,48298030d4b3c320b858dd98934c01babdd320ce,original runtime; varying cohosted workload; API error gate failed
fl2va-last-c1,r2-c0,2026-09-05T19:26:03.432806+00:00,359.5964685305953,124,5.166666666666667,1690477,86b1c96e3783b15f00dd1cbd511e868feb617fa9c28459cae0c8fbc53b464e1a,48298030d4b3c320b858dd98934c01babdd320ce,original runtime; varying cohosted workload; API error gate failed
t2va-10s-c1,r0-c0,2026-09-05T13:59:14.915086+00:00,965.2635411890224,243,10.125,17632559,caa4bb393f880a6b9dbaafdf936709b312298c0ee3137715bdbc3c46312b3dd7,48298030d4b3c320b858dd98934c01babdd320ce,original runtime; varying cohosted workload; API error gate failed
t2va-10s-c1,r1-c0,2026-09-05T14:15:20.978444+00:00,965.6920177401043,243,10.125,17632559,caa4bb393f880a6b9dbaafdf936709b312298c0ee3137715bdbc3c46312b3dd7,48298030d4b3c320b858dd98934c01babdd320ce,original runtime; varying cohosted workload; API error gate failed
t2va-10s-c1,r2-c0,2026-09-05T14:31:27.487916+00:00,965.6062482879497,243,10.125,17632559,caa4bb393f880a6b9dbaafdf936709b312298c0ee3137715bdbc3c46312b3dd7,48298030d4b3c320b858dd98934c01babdd320ce,original runtime; varying cohosted workload; API error gate failed
t2va-15s-c1,r0-c0,2026-09-05T15:19:25.237226+00:00,1908.5287487599999,362,15.083333333333334,21405231,37eda2a41a923e396e743b12150edd3db3236389211c2dc7703d3e021344ec40,48298030d4b3c320b858dd98934c01babdd320ce,original runtime; varying cohosted workload; API error gate failed
t2va-15s-c1,r1-c0,2026-09-05T15:51:14.751900+00:00,1906.8606502367184,362,15.083333333333334,21405231,37eda2a41a923e396e743b12150edd3db3236389211c2dc7703d3e021344ec40,48298030d4b3c320b858dd98934c01babdd320ce,original runtime; varying cohosted workload; API error gate failed
