engine,profile,case,kind,size,references,status,warmup_succeeded,attempted,succeeded,failed,images_per_minute,p50_seconds,p95_seconds,wall_seconds
SGLang,default,edit-ref1-1024,image-edit,1024x1024,1,PASS,1,3,3,0,1.9778458840944848,30.32543874718249,30.334225311875343,91.00810202024877
SGLang,default,edit-ref1-2048,image-edit,2048x2048,1,FAIL,0,3,2,1,0.30518918637596854,196.42429787572473,196.51622051838785,393.1987283853814
SGLang,default,edit-ref10-1024,multi-reference,1024x1024,10,FAIL,0,3,0,3,0.0,,,19.00931848399341
SGLang,default,edit-ref4-1024,multi-reference,1024x1024,4,PASS,1,3,3,0,1.3483954622411876,44.48863003309816,44.49899002443999,133.49199477490038
SGLang,default,native-16x9,text-to-image,2752x1536,0,PASS,1,3,3,0,0.42689595021572996,140.50106187164783,140.5317288292572,421.6484131766483
SGLang,default,native-1x1,text-to-image,2048x2048,0,PASS,1,3,3,0,0.42853277327160577,139.95788961090147,139.99683643039316,420.0378856109455
SGLang,default,native-2x3,text-to-image,1696x2528,0,PASS,1,3,3,0,0.4173669987358467,143.6986870765686,143.79774879664183,431.27511409670115
SGLang,default,native-3x2,text-to-image,2528x1696,0,PASS,1,3,3,0,0.4172259152340645,143.77925691660494,143.79090351518244,431.4209482865408
SGLang,default,native-3x4,text-to-image,1792x2400,0,FAIL,0,3,0,3,0.0,,,432.93607136420906
SGLang,default,native-4x3,text-to-image,2400x1792,0,FAIL,0,3,0,3,0.0,,,432.5219003437087
SGLang,default,native-9x16,text-to-image,1536x2752,0,PASS,1,3,3,0,0.42706845254525294,140.4170849584043,140.54679287597537,421.47810012008995
vLLM-Omni Preview,default,edit-ref1-1024,image-edit,1024x1024,1,FAIL,0,3,0,3,0.0,,,101.22628669068217
vLLM-Omni Preview,default,edit-ref1-2048,image-edit,2048x2048,1,FAIL,0,3,0,3,0.0,,,521.2818121658638
vLLM-Omni Preview,default,edit-ref10-1024,multi-reference,1024x1024,10,FAIL,0,3,0,3,0.0,,,0.01093207485973835
vLLM-Omni Preview,default,edit-ref4-1024,multi-reference,1024x1024,4,FAIL,0,3,0,3,0.0,,,11.196069398894906
vLLM-Omni Preview,default,native-16x9,text-to-image,2752x1536,0,FAIL,0,3,0,3,0.0,,,481.43861724901944
vLLM-Omni Preview,default,native-1x1,text-to-image,2048x2048,0,FAIL,0,3,0,3,0.0,,,478.69657611474395
vLLM-Omni Preview,default,native-2x3,text-to-image,1696x2528,0,FAIL,0,3,0,3,0.0,,,491.71052600909024
vLLM-Omni Preview,default,native-3x2,text-to-image,2528x1696,0,FAIL,0,3,0,3,0.0,,,491.65499529149383
vLLM-Omni Preview,default,native-3x4,text-to-image,1792x2400,0,FAIL,0,3,0,3,0.0,,,498.2677863780409
vLLM-Omni Preview,default,native-4x3,text-to-image,2400x1792,0,FAIL,0,3,0,3,0.0,,,497.9082307415083
vLLM-Omni Preview,default,native-9x16,text-to-image,1536x2752,0,FAIL,0,3,0,3,0.0,,,481.2672364283353
SGLang,vae-tiling,edit-ref1-2048,image-edit,2048x2048,1,PASS,1,3,3,0,0.3045321910954106,196.9665361410007,197.04939254187047,591.0705182021484
SGLang,vae-tiling,native-16x9,text-to-image,2752x1536,0,PASS,1,3,3,0,0.4262566716199377,140.72798830550164,140.7298722648993,422.2807805351913
SGLang,vae-tiling,native-1x1,text-to-image,2048x2048,0,PASS,1,3,3,0,0.4274553480821893,140.31179868988693,140.33953052107245,421.0966146700084
SGLang,vae-tiling,native-2x3,text-to-image,1696x2528,0,PASS,1,3,3,0,0.4161155417887572,144.13584553264081,144.17707666382194,432.572163073346
SGLang,vae-tiling,native-3x2,text-to-image,2528x1696,0,PASS,1,3,3,0,0.4161385538292136,144.12748421914876,144.1446705199778,432.5482422709465
SGLang,vae-tiling,native-3x4,text-to-image,1792x2400,0,PASS,1,3,3,0,0.4109917116678628,145.9327625669539,145.9569740043953,437.9650364955887
SGLang,vae-tiling,native-4x3,text-to-image,2400x1792,0,PASS,1,3,3,0,0.41080470030572813,146.01471598353237,146.0591190494597,438.1644121063873
SGLang,vae-tiling,native-9x16,text-to-image,1536x2752,0,PASS,1,3,3,0,0.4261474557810263,140.7432021452114,140.77353862766176,422.38900539744645
vLLM-Omni Preview,vae-tiling,edit-ref1-2048,image-edit,2048x2048,1,PASS,1,3,3,0,0.3393488781775417,176.67293845210224,176.73890166264027,530.4275675425306
vLLM-Omni Preview,vae-tiling,native-16x9,text-to-image,2752x1536,0,PASS,1,3,3,0,0.3670284065077869,163.341503046453,163.36379342805594,490.425255398266
vLLM-Omni Preview,vae-tiling,native-1x1,text-to-image,2048x2048,0,PASS,1,3,3,0,0.3691859194006386,162.40300826635212,162.41219490393996,487.559222985059
vLLM-Omni Preview,vae-tiling,native-2x3,text-to-image,1696x2528,0,PASS,1,3,3,0,0.35913064870915334,166.92202018853277,166.9514646884054,501.21035519242287
vLLM-Omni Preview,vae-tiling,native-3x2,text-to-image,2528x1696,0,PASS,1,3,3,0,0.3589470488473811,167.04590291902423,167.09003948234022,501.4667221195996
vLLM-Omni Preview,vae-tiling,native-3x4,text-to-image,1792x2400,0,PASS,1,3,3,0,0.35461871382083954,169.05484951566905,169.0629977034405,507.5874255495146
vLLM-Omni Preview,vae-tiling,native-4x3,text-to-image,2400x1792,0,PASS,1,3,3,0,0.35448046854656395,169.11269762460142,169.15985231287777,507.78538162633777
vLLM-Omni Preview,vae-tiling,native-9x16,text-to-image,1536x2752,0,PASS,1,3,3,0,0.3670259745693249,163.33041106630117,163.3741167737171,490.42850498855114
SGLang,vae-tiling,edit-ref10-1024,multi-reference,1024x1024,10,FAIL,0,3,0,3,0.0,,,22.731500204652548
vLLM-Omni Preview,vae-tiling,edit-ref1-1024,image-edit,1024x1024,1,PASS,1,3,3,0,1.7433828758070218,34.38591872341931,34.49096384271979,103.24754389747977
vLLM-Omni Preview,vae-tiling,edit-ref10-1024,multi-reference,1024x1024,10,FAIL,0,3,0,3,0.0,,,0.012702696025371552
vLLM-Omni Preview,vae-tiling,edit-ref4-1024,multi-reference,1024x1024,4,FAIL,0,3,0,3,0.0,,,13.494574789889157
