"engine","case_id","input_tokens","output_tokens","concurrency","prompts_per_repeat","repeats","completed_requests","failed_requests","request_throughput","output_throughput","total_token_throughput","p50_ttft_ms","p95_ttft_ms","p99_ttft_ms","p50_tpot_ms","p95_tpot_ms","p99_tpot_ms","p50_e2e_ms","p95_e2e_ms","p99_e2e_ms"
"sglang","short-128-64-c1",128,64,1,32,3,96,0,1.412686,90.411932,271.235797,54.287209,55.254603,55.416988,10.378218,10.382758,10.383469,708.128542,709.024398,709.224136
"sglang","short-128-64-c4",128,64,4,64,3,192,0,4.507869,288.503632,865.510895,98.297978,106.935962,116.275396,12.516063,12.652992,12.877299,886.860731,906.969495,909.335091
"sglang","short-128-64-c8",128,64,8,128,3,384,0,7.179178,459.467416,1378.402249,142.103304,180.868634,183.115344,15.485624,15.960215,16.186862,1118.032483,1133.329882,1134.030687
"sglang","short-128-64-c16",128,64,16,256,3,768,0,10.256472,656.414213,1969.322767,210.476447,304.047078,305.249872,21.105171,22.36276,22.789872,1563.742399,1591.740345,1592.349684
"sglang","short-128-64-c32",128,64,32,512,3,1536,0,15.066328,964.24501,2892.735029,443.912716,492.255835,493.152434,26.873418,30.066403,30.142219,2126.274021,2175.763181,2176.620745
"sglang","rag-4k-128-c4",4096,128,4,64,3,192,0,0.781811,100.071817,3302.369963,3446.897707,3450.565223,3450.905207,13.222543,20.473331,20.55622,5113.325778,5144.083188,5145.370085
"sglang","rag-4k-128-c8",4096,128,8,128,3,384,0,0.901528,115.395621,3808.055478,5913.691335,6832.034439,6833.486523,23.154277,45.371674,45.668621,8865.084302,8928.983722,8929.956886
"sglang","rag-16k-256-c4",16384,256,4,32,3,96,0,0.209259,53.570321,3482.070862,12429.062478,15772.866142,15799.683179,26.166505,49.439107,49.471659,19095.455735,19174.695639,19175.232469
"sglang","rag-16k-256-c8",16384,256,8,64,3,192,0,0.225265,57.667788,3748.406209,20281.422869,31401.952493,31506.55388,59.733687,113.565853,113.921753,35493.902645,35654.298964,35655.970486
"vllm","short-128-64-c1",128,64,1,32,3,96,0,1.08229,69.26656,207.799681,210.45457,219.737161,223.697191,11.286072,11.291137,11.292779,921.710774,930.483778,934.637633
"vllm","short-128-64-c4",128,64,4,64,3,192,0,2.8646,183.334419,550.003258,400.309304,407.303389,629.822836,13.692295,16.588991,19.926548,1262.620083,1477.49077,1491.025017
"vllm","short-128-64-c8",128,64,8,128,3,384,0,5.169107,330.822844,992.468532,392.557304,414.407588,425.397974,18.311659,21.042535,21.139863,1546.018062,1568.409956,1577.58203
"vllm","short-128-64-c16",128,64,16,256,3,768,0,9.390907,601.018021,1803.054064,439.920718,477.49936,480.449267,20.007626,23.067316,23.84384,1701.116374,1758.803701,1759.307652
"vllm","short-128-64-c32",128,64,32,512,3,1536,0,12.729405,814.681932,2444.045797,821.366396,877.177478,881.689213,26.857568,33.134922,36.238764,2512.29198,2561.339931,2565.507815
"vllm","rag-4k-128-c4",4096,128,4,64,3,192,0,0.728948,93.305342,3079.076301,2752.068986,3689.000531,3708.199814,21.629043,35.612732,35.881158,5494.663256,5559.13905,5883.678555
"vllm","rag-4k-128-c8",4096,128,8,128,3,384,0,0.809572,103.625163,3419.630395,1902.322949,5428.730489,7047.945101,63.113674,70.325119,70.480912,9921.459337,10741.577447,11400.081027
"vllm","rag-16k-256-c4",16384,256,4,32,3,96,0,0.194389,49.763484,3234.626448,10464.750395,14519.113395,16068.822048,38.709997,56.201062,60.72135,20348.943937,21718.557648,25215.260729
"vllm","rag-16k-256-c8",16384,256,8,64,3,192,0,0.207953,53.235998,3460.339891,12540.844486,22322.888997,32143.339211,101.907708,126.359933,129.404526,38453.618564,50254.690229,60778.617513
