engine,run_label,case_id,repeats,successful_requests,failed_requests,median_request_throughput,median_output_throughput,median_total_token_throughput,median_p50_ttft_ms,median_p95_ttft_ms,median_p50_tpot_ms,median_p95_tpot_ms,median_p50_e2el_ms,median_p95_e2el_ms
vllm,ling3-flash-h20-vllm-bf16-tp4-baseline,ctx-128k-128-c1,3,3,0,0.7016582337704848,89.81225392262205,91967.74801676498,664.4222741015255,664.4222741015255,5.981528757536036,5.981528757536036,1424.9640800990164,1424.9640800990164
vllm,ling3-flash-h20-vllm-bf16-tp4-baseline,ctx-256k-128-c1,1,1,0,0.4429930632934215,56.70311210155795,116127.97358399068,1259.1869151219726,1259.1869151219726,7.85774834762056,7.85774834762056,2257.1209552697837,2257.1209552697837
vllm,ling3-flash-h20-vllm-bf16-tp4-baseline,ctx-32k-128-c1,3,9,0,0.5962138753018282,76.31537603863401,19536.736265890308,1456.7152741365135,1467.9261971265078,4.989043802140266,4.990403080637765,2090.3238370083272,2098.7502644304186
vllm,ling3-flash-h20-vllm-bf16-tp4-baseline,ctx-64k-128-c1,3,6,0,0.4098464088105403,52.46034032774916,26859.69424780757,1764.706770889461,3041.427681734785,5.308336585642785,5.3399001072182894,2439.7667050361633,3716.8753855396058
vllm,ling3-flash-h20-vllm-bf16-tp4-baseline,decode-128-1k-c1,3,12,0,0.20750264026980908,212.4827036362845,239.04304159082005,59.4200911000371,59.87106738612056,4.652639294046825,4.653969685203839,4818.97502578795,4820.164618967101
vllm,ling3-flash-h20-vllm-bf16-tp4-baseline,decode-128-1k-c8,3,72,0,1.0139694247311075,1038.304690924654,1168.0927772902357,222.0345491077751,242.23720850422978,7.498870260525543,7.641070633662367,7882.323890924454,7926.4391059288755
vllm,ling3-flash-h20-vllm-bf16-tp4-baseline,long-16k-256-c4,3,96,0,0.9504684020063415,243.31991091362343,15815.794209385524,1544.5255355443805,2515.427799196914,9.74017080357846,14.110070935030485,4265.63628599979,4282.001973013394
vllm,ling3-flash-h20-vllm-bf16-tp4-baseline,long-16k-256-c8,3,192,0,1.146287384294553,293.44957037940554,19074.22207466136,2626.510434085503,3403.56452402193,17.003728304167883,23.998495328020958,7046.067354502156,7340.592282940634
vllm,ling3-flash-h20-vllm-bf16-tp4-baseline,rag-4k-128-c4,3,192,0,2.6959026707606863,345.07554185736785,11387.49288129314,500.23057754151523,660.272501828149,7.457828990689764,10.073308656212149,1486.5046381019056,1491.4762658299878
vllm,ling3-flash-h20-vllm-bf16-tp4-baseline,rag-4k-128-c8,3,384,0,3.673973420805181,470.2685978630632,15518.863729481085,828.5984881222248,1038.2315849419683,10.33024727110201,15.474298880178862,2177.389287855476,2186.5831698523834
vllm,ling3-flash-h20-vllm-bf16-tp4-baseline,short-128-64-c1,3,96,0,2.8220295772917026,180.60989294666896,541.8296788400069,60.22820807993412,62.00103268492967,4.663231948922788,4.667229452613919,354.1789180599153,355.69044817239046
vllm,ling3-flash-h20-vllm-bf16-tp4-baseline,short-128-64-c16,3,768,0,19.32878220684516,1237.0420612380901,3711.12618371427,241.115250159055,274.66722403187305,9.274667095659035,11.999316694628861,825.3968523349613,861.1385669792071
vllm,ling3-flash-h20-vllm-bf16-tp4-baseline,short-128-64-c4,3,192,0,6.995293374627043,447.6987759761308,1343.0963279283924,138.0796916782856,163.18485708907247,6.90896902972507,8.108748810824066,570.7133456598967,573.2196391327307
vllm,ling3-flash-h20-vllm-bf16-tp4-baseline,short-128-64-c8,3,384,0,11.618568202270291,743.5883649452986,2230.7650948358955,223.58911368064582,226.42085147090256,7.493523629530081,10.056418717824041,696.6229386162013,706.7446682136506
vllm,ling3-flash-h20-vllm-bf16-tp4-baseline,smoke-128-64-c1,1,4,0,2.828001003614169,180.9920642313068,542.9761926939204,59.604320442304015,59.84191203024238,4.66618656609503,4.667414996832136,353.6063984502107,353.752404730767
